wave,req,endpoint,http_code,result
1,1,customers,404,fail
1,2,customers,404,fail
1,3,customers,404,fail
1,47,customers,404,fail
1,15,products,200,ok
1,30,products,200,ok
1,19,customers,404,fail
1,16,products,200,ok
1,40,customers,404,fail
1,22,customers,404,fail
1,17,products,200,ok
1,23,products,200,ok
1,28,customers,404,fail
1,7,products,200,ok
1,23,customers,404,fail
1,44,customers,404,fail
1,9,orders,400,fail
1,4,customers,404,fail
1,37,customers,404,fail
1,2,products,200,ok
1,3,orders,400,fail
1,20,orders,400,fail
1,21,customers,404,fail
1,14,products,200,ok
1,20,products,200,ok
1,1,products,200,ok
1,17,orders,400,fail
1,11,orders,400,fail
1,14,customers,404,fail
1,8,customers,404,fail
1,5,customers,404,fail
1,32,customers,404,fail
1,31,customers,404,fail
1,24,customers,404,fail
1,6,products,200,ok
1,15,orders,400,fail
1,12,orders,400,fail
1,24,products,200,ok
1,12,products,200,ok
1,21,products,200,ok
1,33,customers,404,fail
1,3,products,200,ok
1,9,products,200,ok
1,27,customers,404,fail
1,43,customers,404,fail
1,48,customers,404,fail
1,6,orders,400,fail
1,28,products,200,ok
1,25,products,200,ok
1,26,customers,404,fail
1,5,products,200,ok
1,7,orders,400,fail
1,15,customers,404,fail
1,34,customers,404,fail
1,45,customers,404,fail
1,8,orders,400,fail
1,38,customers,404,fail
1,1,orders,400,fail
1,49,customers,404,fail
1,50,customers,404,fail
1,11,products,200,ok
1,39,customers,404,fail
1,12,customers,404,fail
1,18,orders,400,fail
1,16,customers,404,fail
1,6,customers,404,fail
1,4,products,200,ok
1,13,products,200,ok
1,10,customers,404,fail
1,14,orders,400,fail
1,17,customers,404,fail
1,25,customers,404,fail
1,36,customers,404,fail
1,30,customers,404,fail
1,26,products,200,ok
1,13,orders,400,fail
1,22,products,200,ok
1,4,orders,400,fail
1,19,products,200,ok
1,5,orders,400,fail
1,13,customers,404,fail
1,10,orders,400,fail
1,29,customers,404,fail
1,42,customers,404,fail
1,29,products,200,ok
1,18,customers,404,fail
1,9,customers,404,fail
1,18,products,200,ok
1,16,orders,400,fail
1,10,products,200,ok
1,11,customers,404,fail
1,20,customers,404,fail
1,27,products,200,ok
1,2,orders,400,fail
1,7,customers,404,fail
1,35,customers,404,fail
1,19,orders,400,fail
1,8,products,200,ok
1,41,customers,404,fail
1,46,customers,404,fail
2,2,customers,404,fail
2,4,customers,404,fail
2,23,products,200,ok
2,5,customers,404,fail
2,46,customers,404,fail
2,11,customers,404,fail
2,30,products,200,ok
2,7,customers,404,fail
2,1,customers,404,fail
2,16,orders,400,fail
2,23,customers,404,fail
2,25,products,200,ok
2,19,customers,404,fail
2,8,products,200,ok
2,20,orders,400,fail
2,16,products,200,ok
2,13,orders,400,fail
2,36,customers,404,fail
2,30,customers,404,fail
2,12,customers,404,fail
2,13,products,200,ok
2,3,customers,404,fail
2,14,customers,404,fail
2,11,products,200,ok
2,22,products,200,ok
2,19,products,200,ok
2,38,customers,404,fail
2,43,customers,404,fail
2,48,customers,404,fail
2,32,customers,404,fail
2,28,customers,404,fail
2,26,products,200,ok
2,26,customers,404,fail
2,6,orders,400,fail
2,20,products,200,ok
2,44,customers,404,fail
2,19,orders,400,fail
2,18,products,200,ok
2,2,orders,400,fail
2,15,customers,404,fail
2,12,orders,400,fail
2,7,products,200,ok
2,40,customers,404,fail
2,42,customers,404,fail
2,10,customers,404,fail
2,28,products,200,ok
2,7,orders,400,fail
2,2,products,200,ok
2,16,customers,404,fail
2,8,customers,404,fail
2,39,customers,404,fail
2,1,products,200,ok
2,4,products,200,ok
2,20,customers,404,fail
2,10,orders,400,fail
2,17,orders,400,fail
2,27,customers,404,fail
2,9,orders,400,fail
2,5,products,200,ok
2,34,customers,404,fail
2,5,orders,400,fail
2,10,products,200,ok
2,47,customers,404,fail
2,37,customers,404,fail
2,18,customers,404,fail
2,24,customers,404,fail
2,18,orders,400,fail
2,29,customers,404,fail
2,41,customers,404,fail
2,25,customers,404,fail
2,14,orders,400,fail
2,21,products,200,ok
2,31,customers,404,fail
2,17,customers,404,fail
2,29,products,200,ok
2,8,orders,400,fail
2,3,orders,400,fail
2,13,customers,404,fail
2,3,products,200,ok
2,17,products,200,ok
2,4,orders,400,fail
2,14,products,200,ok
