seq,endpoint,http_code,elapsed_ms,result
1,customers,404,0,fail
5,customers,404,0,fail
3,customers,404,0,fail
4,customers,404,0,fail
20,customers,404,0,fail
29,customers,404,0,fail
26,customers,404,0,fail
25,customers,404,0,fail
30,customers,404,0,fail
11,customers,404,0,fail
15,customers,404,0,fail
7,customers,404,0,fail
23,customers,404,0,fail
22,customers,404,0,fail
6,customers,404,0,fail
13,customers,404,0,fail
28,customers,404,0,fail
2,customers,404,0,fail
10,customers,404,0,fail
12,customers,404,0,fail
17,customers,404,0,fail
27,customers,404,0,fail
21,customers,404,0,fail
18,customers,404,0,fail
9,customers,404,0,fail
24,customers,404,0,fail
19,customers,404,0,fail
8,customers,404,0,fail
16,customers,404,0,fail
14,customers,404,0,fail
